date_created,up_votes,title,over_18,author,hour,day_of_week,day_of_month,month
2013-06-08,10159," What we have... is... concrete proof of U.S.-based... companies participating with the NSA in wholesale surveillance on us, the rest of the world, the non-American, you and me,  Mikko Hypponen, chief research officer at Finnish software security firm F-Secure.",False,dantesinfer,1,5,8,6
2015-06-20,21253,"A biotech startup has managed to 3-D print fake rhino horns that carry the same genetic fingerprint as the actual horn. The company plans to flood Chinese rhino horn market at one-eighth of the price of the original, undercutting the price poachers can get and forcing them out eventually.",False,KRISHNA53,16,5,20,6
2015-08-07,10377,Brazilian radio host famous for exposing corruption in his city murdered while broadcasting live on the air by two gunmen.,False,fiffers,15,4,7,8
2015-08-12,10086,India sues Nestle for nearly $100m because lead shouldn t be in noodles.,False,damsteegt,13,2,12,8
2015-08-18,11288,Paris shooting survivor suing French media for giving away his location while he hid from shooters,False,seapiglet,23,1,18,8
2015-08-20,10515,"ISIS beheads 81-year-old pioneer archaeologist and foremost scholar on ancient Syria. Held captive for 1 month, he refused to tell ISIS the location of the treasures of Palmyra unto death.",False,DawgsOnTopUGA,0,3,20,8
2015-08-23,12333,"The police officer who leaked the footage of the surfers paradise police brutality, where the victims blood was washed away by officers, has been criminally charged for bringing it to the publics view. Officers who did the bashing get nothing.",False,navysealassulter,22,6,23,8
2015-08-24,13435,"Twitter has forced 30 websites that archive politician s deleted tweets to shut down, removing an effective tool to keep politicians honest",False,joeyoungblood,12,0,24,8
2015-09-18,10922,Brazil s Supreme Court has banned corporate contributions to political campaigns and parties,False,DoremusJessup,0,4,18,9
2016-03-18,10161,"TTIP: secrecy around talks is  profoundly undemocratic , MPs say. A German MP said she was given only two hours to read 300 pages",False,Wagamaga,9,4,18,3
2016-03-30,11108,Hundreds of thousands of leaked emails reveal massively widespread corruption in global oil industry,False,Xiroth,11,2,30,3
2016-04-03,13244,"2.6 terabyte leak of Panamanian shell company data reveals  how a global industry led by major banks, legal firms, and asset management companies secretly manages the estates of politicians, Fifa officials, fraudsters and drug smugglers, celebrities and professional athletes. ",False,mister_geaux,18,6,3,4
2016-05-31,10289,Every reference to the Great Barrier Reef removed from UN report on impact of climate change after ‘intervention’ from Australian government.,False,Flamo_the_Idiot_Boy,6,1,31,5
2016-09-28,10239,Iceland s capital Reykjavik to switch off street lights tonight due to a forecast of unusually magnificent northern lights,False,tiribazus,14,2,28,9
2016-10-19,10394,"Feeding cows seaweed could slash global greenhouse gas emissions, researchers say:  They discovered adding a small amount of dried seaweed to a cow s diet can reduce the amount of methane a cow produces by up to 99 per cent. ",False,mvea,12,2,19,10
